time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
338400.0,-145.72790393989803,-72.94419907803807,0.0,-36.328419921706775,-109.55505853548773,-109.63765188757657,-73.07827307374114,-36.93573926802351,-36.76476166127436,-73.33901690253917,0.0
342000.0,-142.8182210485802,-71.50835428920853,0.0,-35.61260577362406,-107.37225965073448,-107.52618599108749,-71.69567876561408,-36.26379627286671,-36.08328240448125,-71.9481389934536,0.0
345600.0,-138.79897833214002,-69.47095615858784,0.0,-34.57601010377858,-104.3117725252472,-104.5810201993003,-69.7130427794919,-35.26068759197343,-35.07495017878428,-69.95369016900602,0.0
349200.0,-134.22613067812907,-67.16440845129277,0.0,-33.40922566738114,-100.84684401966776,-101.20556889038401,-67.45031551946732,-34.12139037535224,-33.9304823073597,-67.68032077833807,0.0
352800.0,-129.32102588927924,-64.77296251422781,0.0,-32.23907168590759,-97.21767008030046,-97.6376855390992,-65.15279177393958,-33.018765518274044,-32.81954214615053,-65.37639915728087,0.0
356400.0,-124.5375710059525,-62.358281560961615,0.0,-31.020197198259506,-93.5961288940679,-94.09992980641398,-62.781875397571106,-31.82438532713515,-31.621030408211976,-62.99585564070534,0.0
360000.0,-121.20948406524748,-60.62904634912541,0.0,-30.126493212043872,-91.02492608627755,-91.57516209921349,-61.02932225363802,-30.90786915746396,-30.702434519044242,-61.233177035562925,0.0
363600.0,-118.0726500384928,-59.0293759714662,0.0,-29.314666451534666,-88.63281576649685,-89.22618523599819,-59.43305690733741,-30.0916382993312,-29.88326968394272,-59.628660337028876,0.0
367200.0,-115.8359041700427,-57.907256425099725,0.0,-28.75550975185082,-86.94458481680292,-87.56193474333833,-58.32476078772694,-29.537411182663323,-29.325450122909704,-58.51369111127413,0.0
370800.0,-114.7406952154214,-57.381247568764906,0.0,-28.50844805729684,-86.13997705355153,-86.70517811524574,-57.782385347722304,-29.27996728546307,-29.064602269174205,-57.96370145394348,0.0
374400.0,-110.90947331723314,-55.40698381692248,0.0,-27.49638577640911,-83.18728575276516,-83.72828584543515,-55.76220179687471,-28.23681401795082,-27.999077175900297,-55.90083651864132,0.0
378000.0,-103.73710558422037,-51.449706824489795,0.0,-25.32869382496529,-76.98052028801808,-78.2916337428195,-51.82000722362248,-26.077849557435,-25.372664740829357,-51.46149722692215,0.0
381600.0,-97.96875043608105,-48.625988475918355,0.0,-23.949570915455283,-72.11450966484516,-73.90977664925094,-48.993532452613906,-24.688862391542806,-23.367812808569578,-47.99858065197816,0.0
385200.0,-98.35244411071676,-49.12562590431502,0.0,-24.320479648453816,-72.89501415034566,-74.12681615143893,-49.43720879265762,-25.017551633811827,-23.946140438026877,-48.63004049681971,0.0
388800.0,-100.18814737016118,-50.46334991158494,0.0,-25.02439138757775,-74.36026088514834,-75.53954258770588,-50.75712609105311,-25.707976460617665,-24.601473961262254,-49.67768098724039,0.0
392400.0,-103.1660043973854,-52.49752269116416,0.0,-26.08142944507913,-76.59286378154513,-77.85890147916245,-52.782706047997024,-26.75918537835627,-25.5015755817183,-51.24428983850725,0.0
396000.0,-107.64878371803117,-53.89871265195352,0.0,-26.778986877874065,-80.71567638415415,-81.16239508144963,-54.19812038575205,-27.45395216147065,-27.132376817191506,-54.156924061614696,0.0
399600.0,-107.63842067473591,-53.810786830742,0.0,-26.757624661095388,-80.81666977714202,-81.2779241512394,-54.197676286191744,-27.48596586941232,-27.260935001110322,-54.3516070739229,0.0
403200.0,-107.3012801874292,-53.678362087325596,0.0,-26.70817601348233,-80.58818849176006,-81.11166518260525,-54.124476802507935,-27.475836530839214,-27.245947465598768,-54.27900118004122,0.0
406800.0,-105.97890433690733,-52.94132062028119,0.0,-26.301156511968916,-79.51041508616109,-80.11420594899792,-53.36807909390378,-27.050295055168657,-26.820324336865006,-53.51984468217587,0.0
410400.0,-103.6656658944408,-51.731484231209464,0.0,-25.668630951122534,-77.71422007701149,-78.350356548109,-52.119141290312236,-26.387012301078432,-26.15691088318572,-52.26783034204243,0.0
414000.0,-102.49776245952202,-51.19182839685104,0.0,-25.41942126876377,-76.87652577885207,-77.50356347797432,-51.6025797392848,-26.157156279187898,-25.923256191926953,-51.750541706140545,0.0
417600.0,-104.43663901832387,-52.24649098991079,0.0,-25.990053774774175,-78.41070750105321,-78.95561549129229,-52.657302910150015,-26.736100172135725,-26.497465699465458,-52.806371836477254,0.0
421200.0,-107.93862246644416,-53.966033571399976,0.0,-26.838266994312274,-81.00046506863882,-81.48306265550822,-54.28823120122107,-27.52470282707332,-27.2869387692751,-54.43633557578645,0.0
424800.0,-112.68259303557427,-56.350008952031416,0.0,-28.038742572752074,-84.56589054178806,-84.92692623259458,-56.57415590405604,-28.667510914740415,-28.428504873782266,-56.72328443620545,0.0
428400.0,-117.01889345314346,-58.53075516640707,0.0,-29.13815058114257,-87.82621200685485,-88.03823605875006,-58.633404143694854,-29.688986139931266,-29.45218211447665,-58.78208577544537,0.0
432000.0,-118.383898988713,-59.20536019082939,0.0,-29.47270700378845,-88.83791300109137,-89.01272471354574,-59.26353743304419,-29.986024067608025,-29.7549904177435,-59.40912275268863,0.0
435600.0,-116.7674092010382,-58.406424181783485,0.0,-29.069689926663845,-87.63246595259167,-87.86082022479536,-58.50922056415836,-29.626710163170404,-29.388745234315873,-58.65743511362778,0.0
439200.0,-115.38199373828303,-57.7139746068677,0.0,-28.717916859437416,-86.59132092693446,-86.8867624954772,-57.86707794260527,-29.313506228242712,-29.07252203861606,-58.0155806051315,0.0
442800.0,-114.72391779114982,-57.34806614057859,0.0,-28.5156920812045,-86.05843962137403,-86.42559261181754,-57.52345457913072,-29.117708331677964,-28.87990962198708,-57.66909336765889,0.0
446400.0,-111.79249975437665,-55.835856400644055,0.0,-27.733997527663526,-83.81148388328643,-84.28648985125018,-56.05175067389226,-28.354972683327276,-28.118360763486884,-56.19474991862748,0.0
450000.0,-106.98061907094403,-53.37562142931984,0.0,-26.473519249973478,-80.14691101709555,-80.72903988904228,-53.620114991830036,-27.10481046887476,-26.86850553508105,-53.75981763811519,0.0
453600.0,-102.51622754488743,-51.11104646781708,0.0,-25.323404658117468,-76.76516692522327,-77.38293322847618,-51.344889208268704,-25.940836043473862,-25.704533772380096,-51.48114529129881,0.0
457200.0,-98.70490025838966,-49.18072910011038,0.0,-24.346178543624077,-73.88401532071386,-74.587606041201,-49.48212374586362,-25.006783594494205,-24.76968294276522,-49.61341263766837,0.0
460800.0,-93.86462970857127,-46.95822891401168,0.0,-23.266617161609773,-70.25226052012084,-70.9231512086953,-47.24292954003907,-23.912966818251977,-23.587076249482728,-47.17533066191868,0.0
464400.0,-90.30162609331711,-45.33295168023082,0.0,-22.509554315767144,-67.65155063794757,-67.95343038713746,-45.448008794717104,-23.0549044089938,-22.671183488636295,-45.249973662285505,0.0
468000.0,-90.3813181027648,-45.334055670178245,0.0,-22.502637608326374,-67.69534414598851,-67.99775880743715,-45.44844045845494,-23.040911841318724,-22.669279069867024,-45.26643043244175,0.0
471600.0,-90.3603931294823,-45.43359503764736,0.0,-22.563680967842476,-67.64468220954424,-68.10718939193649,-45.61291194528693,-23.131580993841794,-22.699443165161878,-45.315357186493316,0.0
475200.0,-92.44852672968022,-46.401908511377975,0.0,-23.058824790919658,-69.26881817071003,-69.91272937528585,-46.68150825460872,-23.674164282782428,-23.33555307408343,-46.58723613699665,0.0
478800.0,-95.87432382932668,-47.961580637414585,0.0,-23.857360914904504,-71.9614681019179,-72.61405970146986,-48.31918770819971,-24.48817658927623,-24.241329996977473,-48.4260849880797,0.0
482400.0,-97.32446925668357,-48.65741616453574,0.0,-24.192395969902712,-73.01658008812085,-73.70752263629747,-49.006635812461965,-24.819904449979727,-24.570759599633046,-49.12082833721693,0.0
486000.0,-96.60374349325731,-48.268278003512464,0.0,-23.98256191007305,-72.44502334955256,-73.20530455289442,-48.63233560468223,-24.618564741564306,-24.367630486243645,-48.750735784919804,0.0
489600.0,-93.37303302207418,-46.66920697356298,0.0,-23.189189189537263,-70.03659976080607,-70.85271398789332,-47.07079112584562,-23.840899106768237,-23.58997762093877,-47.18948500069087,0.0
493200.0,-91.98460877130104,-45.91599996626334,0.0,-22.781168639918217,-68.93520796900317,-69.86852276300125,-46.34807494962233,-23.44930808077456,-23.196368487499118,-46.46800287352755,0.0
496800.0,-91.65486728964531,-45.78366369149106,0.0,-22.73289095189556,-68.71896510797076,-69.62688517605258,-46.21763967618303,-23.398687623541594,-23.146609970023114,-46.33749233440213,0.0
500400.0,-90.63733629749426,-45.49014377836276,0.0,-22.64224975070745,-67.99826245078359,-68.6875249595774,-45.818909022710024,-23.266727199795223,-22.96172219639714,-45.82084499682129,0.0
504000.0,-92.12716688944438,-46.26972283472117,0.0,-23.01509982645662,-69.04186412885495,-69.72318151837892,-46.5373348901421,-23.620414773246004,-23.2890929381869,-46.48322157959396,0.0
