Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
9763.2,-69.6744,294.15,294.12003,294.01065
9784.8,-69.6744,294.15,294.12003,294.01065
9806.4,-69.6744,294.15,294.12003,294.01065
9828,-69.6744,294.15,294.12003,294.01065
9849.6,-69.6744,294.15,294.12003,294.01065
9871.2,-69.6744,294.15,294.12003,294.01065
9892.8,-69.6744,294.15,294.12003,294.01065
9914.4,-69.6744,294.15,294.12003,294.01065
9936,-69.6744,294.15,294.12003,294.01065
9957.6,-69.6744,294.15,294.12003,294.01065
9979.2,-69.6744,294.15,294.12003,294.01065
10000.8,-69.6744,294.15,294.12003,294.01065
10022.4,-69.6744,294.15,294.12003,294.01065
10044,-69.6744,294.15,294.12003,294.01065
10065.6,-69.6744,294.15,294.12003,294.01065
10087.2,-69.6744,294.15,294.12003,294.01065
10108.8,-69.6744,294.15,294.12003,294.01065
10130.4,-69.6744,294.15,294.12003,294.01065
10152,-69.6744,294.15,294.12003,294.01065
10173.6,-69.6744,294.15,294.12003,294.01065
10195.2,-69.6744,294.15,294.12003,294.01065
10216.8,-69.6744,294.15,294.12003,294.01065
10238.4,-69.6744,294.15,294.12003,294.01065
10260,-69.6744,294.15,294.12003,294.01065
10281.6,-69.6744,294.15,294.12003,294.01065
10303.2,-69.6744,294.15,294.12003,294.01065
10324.8,-69.6744,294.15,294.12003,294.01065
10346.4,-69.6744,294.15,294.12003,294.01065
10368,-69.6744,294.15,294.12003,294.01065
10389.6,-69.6744,294.15,294.12003,294.01065
10411.2,-69.6744,294.15,294.12003,294.01065
10432.8,-69.6744,294.15,294.12003,294.01065
10454.4,-69.6744,294.15,294.12003,294.01065
10476,-69.6744,294.15,294.12003,294.01065
10497.6,-69.6744,294.15,294.12003,294.01065
10519.2,-69.6744,294.15,294.12003,294.01065
10540.8,-69.6744,294.15,294.12003,294.01065
10562.4,-69.6744,294.15,294.12003,294.01065
10584,-69.6744,294.15,294.12003,294.01065
10605.6,-69.6744,294.15,294.12003,294.01065
10627.2,-69.6744,294.15,294.12003,294.01065
10648.8,-69.6744,294.15,294.12003,294.01065
10670.4,-69.6744,294.15,294.12003,294.01065
10692,-69.6744,294.15,294.12003,294.01065
10713.6,-69.6744,294.15,294.12003,294.01065
10735.2,-69.6744,294.15,294.12003,294.01065
10756.8,-69.6744,294.15,294.12003,294.01065
10778.4,-69.6744,294.15,294.12003,294.01065
10800,-69.6744,294.15,294.12003,294.01065
10800,-69.6744,294.15,294.12003,294.01065
